sourceTaxonId,sourceTaxonName,sourceLifeStageId,sourceLifeStageName,interactionTypeId,interactionTypeName,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,localityId,sourcelocalityName,localityName,CountryCode,localityCountry,localityProvinceId,localityProvinceName,localityEcoregionId,localityEcoregionName,decimalLatitude,decimalLongitude,localityGeometricShape,targetClass,targetOrder,targetFamily,targetGenus,targetSubgenus,targetSpecies,sourcePhylum,sourceClass,sourceOrder,sourceFamily,sourceGenus,sourceSubgenus,sourceSpecies,sourceSubspecies,ReferenceAbbreviation,referenceCitation,referenceDoi,referenceURL,,,,,,,,,,,,,,,
WORMS:351056,Diogenidium nasutum,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007027,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenidium,,nasutum,,Edwards 1891,"Edwards, C. L. A. M. (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1), 75–104.",,https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up,,,,,,,,,,,,,,,
WORMS:116379,Metis holothuriae,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007028,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Harpacticoida,Metidae,Metis,,holothuriae,,Edwards 1891,"Edwards, C. L. A. M. (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1), 75–104.",,https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up,,,,,,,,,,,,,,,
WORMS:353051,Leuckartella paradoxa,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007029,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,,,Leuckartella,,paradoxa,,Edwards 1891,"Edwards, C. L. A. M. (1891). Beschreibung einiger neuen Copepoden und eines neuen copepodenähnlichen Krebses, Leuckartella, paradoxa. Archiv Für Naturgeschichte., 57(1), 75–104.",,https://www.biodiversitylibrary.org/page/6400545#page/85/mode/1up,,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis ,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,UBERON:0001007,digestive system ,UBERON:0007030,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Chordata,Actinopterygii,Ophidiiformes,Carapidae,Carapus,,bermudensis,,Hendler et al. 1995,"Hendler, G., Miller, J. E., Pawson, D. L., & Kier, P. M. (1995). Sea Stars, Sea Urchins and Allies: Echinoderms of Florida and the Caribbean (G. Hendler, Ed.). Florida: Smithsonian Institution.",,"https://books.google.com.mx/books?id=-0MWAQAAIAAJ&pg=PR4&dq=Sea+Stars,+Sea+Urchins+and+Allies:+Echinoderms+of+Florida+and+the+Caribbean&hl=es-419&sa=X&ved=0ahUKEwiVpM_8wdDjAhVlUt8KHdgBBrAQ6wEITzAF",,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,UBERON:0001007,digestive system ,UBERON:0007031,adult organism,,Literature,"Cayo Largo Arriba, Cayos Cochinos",ISO_2:HN,Honduras,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:68,Western Caribbean,15.95027778,-86.49777778,Point ,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Chordata,Actinopterygii,Ophidiiformes,Carapidae,Carapus,,bermudensis,,Hasbun & Lawrwnce  2002,"Hasbún, C. R., & Lawrence, A. J. (2002). An Annotated Description of Shallow Water Holothurians (Echinodermata: Holothuroidea) from Cayos Cochinos, Honduras. Revista de Biologia Tropical, 50(2), 669–678.",,https://revistas.ucr.ac.cr/index.php/rbt/article/view/16592,,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,UBERON:0001007,digestive system ,UBERON:0007032,adult organism,,Literature,"Cayo Menor, Cayos Cochinos",ISO_2:HN,Honduras,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:68,Western Caribbean,15.95166667,-86.50416667,Point ,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Chordata,Actinopterygii,Ophidiiformes,Carapidae,Carapus,,bermudensis,,Hasbun & Lawrwnce  2002,"Hasbún, C. R., & Lawrence, A. J. (2002). An Annotated Description of Shallow Water Holothurians (Echinodermata: Holothuroidea) from Cayos Cochinos, Honduras. Revista de Biologia Tropical, 50(2), 669–678.",,https://revistas.ucr.ac.cr/index.php/rbt/article/view/16592,,,,,,,,,,,,,,,
WORMS:158995,Carapus bermudensis,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007033,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Chordata,Actinopterygii,Ophidiiformes,Carapidae,Carapus,,bermudensis,,Eeckhaut et al. 2004,"Eeckhaut, I., Parmentier, E., Becker, P., Gomez da Silva, S., & Jangoux, M. (2004). Parasites and biotic diseases in field and cultivated sea cucumbers. In Advances in sea cucumber aquaculture and management (pp. 311–325).",,http://www.vliz.be/en/imis?refid=217892,,,,,,,,,,,,,,,
WORMS:349969,Caribulus sculptus,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007034,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,sculptus,,WORMS 2019,WoRMS Editorial Board (2019). World Register of Marine Species.  ,doi:10.14284/170,http://www.marinespecies.org at VLIZ,,,,,,,,,,,,,,,
WORMS:351054,Diogenella spinicauda,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007035,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenella,,spinicauda,,WORMS 2019,WoRMS Editorial Board (2019). World Register of Marine Species.  ,doi:10.14284/170,http://www.marinespecies.org at VLIZ,,,,,,,,,,,,,,,
WORMS:351056,Diogenidium nasutum,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007036,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenidium,,nasutum,,WORMS 2019,WoRMS Editorial Board (2019). World Register of Marine Species.  ,doi:10.14284/170,http://www.marinespecies.org at VLIZ,,,,,,,,,,,,,,,
WORMS:351058,Diogenidium tectum,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007037,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenidium,,tectum,,WORMS 2019,WoRMS Editorial Board (2019). World Register of Marine Species.  ,doi:10.14284/170,http://www.marinespecies.org at VLIZ,,,,,,,,,,,,,,,
WORMS:116379,Metis holothuriae ,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007038,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Harpacticoida,Metidae,Metis,,holothuriae,,WORMS 2019,WoRMS Editorial Board (2019). World Register of Marine Species.  ,doi:10.14284/170,http://www.marinespecies.org at VLIZ,,,,,,,,,,,,,,,
WORMS:355038,Pseudanthessius pectinifer,UBERON:0007023,adult organism,RO:0002634,endoparasite of,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007039,adult organism,,,,,,,,,,,,,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Pseudanthessiidae,Pseudanthessius,,pectinifer,,WORMS 2019,WoRMS Editorial Board (2019). World Register of Marine Species.  ,doi:10.14284/170,http://www.marinespecies.org at VLIZ,,,,,,,,,,,,,,,
WORMS:349969,Caribulus sculptus ,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007040,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,sculptus,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:349969,Caribulus sculptus ,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007041,adult organism,GeoNames:3489940,GeoNames,Jamaica,ISO_2:JM,Jamaica,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:65,Greater Antilles,18.16667,-77.25,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,sculptus,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:346918,Caribulus,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007042,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:346918,Caribulus,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007043,adult organism,GeoNames:3489940,GeoNames,Jamaica,ISO_2:JM,Jamaica,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:65,Greater Antilles,18.16667,-77.25,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:351054,Diogenella spinicauda,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007044,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenella,,spinicauda,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:351054,Diogenella spinicauda,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007045,adult organism,GeoNames:3489940,GeoNames,Jamaica,ISO_2:JM,Jamaica,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:65,Greater Antilles,18.16667,-77.25,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenella,,spinicauda,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:351056,Diogenidium nasutum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,AEO:0000186,body cavity ,UBERON:0007046,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenidium,,nasutum,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:351058,Diogenidium tectum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007047,adult organism,GeoNames:3489940,GeoNames,Jamaica,ISO_2:JM,Jamaica,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:65,Greater Antilles,18.16667,-77.25,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenidium,,tectum,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:351058,Diogenidium tectum,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,,,UBERON:0007048,adult organism,GeoNames:3572887,GeoNames,Commonwealth of The Bahamas,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.04082,-77.37122,Poligon,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Lichomolgidae,Diogenidium,,tectum,,Humes & Stock 1973,"Humes, A. G., & Stock, J. H. (1973). A revision of the family Lichomolgidae Kossmann, 1877, cyclopoid copepods mainly associated with marine invertebrates. Smithsonian Contributions to Zoology, (127), 1–368. ",doi:10.5479/si.00810282.127,https://repository.si.edu/handle/10088/5395,,,,,,,,,,,,,,,
WORMS:346918,Caribulus,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,UBERON:0002416,Body surface ,UBERON:0007049,adult organism,GeoNames:3572924,GeoNames,Alice Town ,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.728,-79.29721,Point,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,,,Humes 1969a,"Humes, A. G. (1969a). Copepods of the genus Scambicornus (Cyclopoida, Lichomolgidae) associated with Holothurians in the West Indies. Studies on the Fauna of Curaçao and Other Caribbean Islands, 29(1), 79–95.",,https://www.repository.naturalis.nl/record/506201,,,,,,,,,,,,,,,
WORMS:346918,Caribulus,UBERON:0007023,adult organism,RO_0002441,commensually interacts with ,WORMS:241768,Actinopyga agassizii,UBERON:0002416,Body surface ,UBERON:0007050,adult organism,GeoNames:3571691,GeoNames,Pigeon Cay ,ISO_2:BS,Bahamas,SPALDING_P:12,Tropical Northwestern Atlantic,SPALDING_R:63,Bahamian,25.72854,-79.28159,Point,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga,,agassizii,Arthropoda,Hexanauplia,Cyclopoida,Synapticolidae,Caribulus,,,,Humes 1969a,"Humes, A. G. (1969a). Copepods of the genus Scambicornus (Cyclopoida, Lichomolgidae) associated with Holothurians in the West Indies. Studies on the Fauna of Curaçao and Other Caribbean Islands, 29(1), 79–95.",,https://www.repository.naturalis.nl/record/506201,,,,,,,,,,,,,,,
